2024-04-12 17:49:50.452 | WARNING  | __main__:start_record:1040 - 错误信息: [WinError 123] 文件名、目录名或卷标语法不正确。: '"D:' 发生错误的行数: 1038
2024-04-12 17:49:50.454 | WARNING  | __main__:start_record:1043 - 错误信息: 保存路径不存在,不能生成录制.请避免把本程序放在c盘,桌面,下载文件夹,qq默认传输目录.请重新检查设置
2024-04-12 17:49:50.467 | WARNING  | __main__:start_record:1040 - 错误信息: [WinError 123] 文件名、目录名或卷标语法不正确。: '"D:' 发生错误的行数: 1038
2024-04-12 17:49:50.468 | WARNING  | __main__:start_record:1043 - 错误信息: 保存路径不存在,不能生成录制.请避免把本程序放在c盘,桌面,下载文件夹,qq默认传输目录.请重新检查设置
2024-04-12 17:49:53.284 | WARNING  | __main__:start_record:1322 - 错误信息: Command '['ffmpeg', '-y', '-v', 'verbose', '-rw_timeout', '30000000', '-loglevel', 'error', '-hide_banner', '-user_agent', 'Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36', '-protocol_whitelist', 'rtmp,crypto,file,http,https,tcp,tls,udp,rtp', '-thread_queue_size', '1024', '-analyzeduration', '20000000', '-probesize', '10000000', '-fflags', '+discardcorrupt', '-i', 'http://pull-hls-l26.douyincdn.com/stage/stream-403181833070051467_ld.m3u8?expire=66223e3e&sign=4650c516ea23389db44417a6805ecfe2', '-bufsize', '8000k', '-sn', '-dn', '-reconnect_delay_max', '60', '-reconnect_streamed', '-reconnect_at_eof', '-max_muxing_queue_size', '1024', '-correct_ts_overflow', '1', '-c:v', 'copy', '-c:a', 'copy', '-map', '0', '-f', 'mpegts', '"D:/直播监控"/抖音直播/长沙刑事律师李俊杰/长沙刑事律师李俊杰_2024-04-12_17-49-50.ts']' returned non-zero exit status 1. 发生错误的行数: 1314
2024-04-12 17:49:59.404 | WARNING  | __main__:start_record:1322 - 错误信息: Command '['ffmpeg', '-y', '-v', 'verbose', '-rw_timeout', '30000000', '-loglevel', 'error', '-hide_banner', '-user_agent', 'Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36', '-protocol_whitelist', 'rtmp,crypto,file,http,https,tcp,tls,udp,rtp', '-thread_queue_size', '1024', '-analyzeduration', '20000000', '-probesize', '10000000', '-fflags', '+discardcorrupt', '-i', 'http://pull-hls-l13.douyincdn.com/stage/stream-691412292170154424_ld.m3u8?expire=1713520190&sign=8099298646407ee20b1efb650b25b726', '-bufsize', '8000k', '-sn', '-dn', '-reconnect_delay_max', '60', '-reconnect_streamed', '-reconnect_at_eof', '-max_muxing_queue_size', '1024', '-correct_ts_overflow', '1', '-c:v', 'copy', '-c:a', 'copy', '-map', '0', '-f', 'mpegts', '"D:/直播监控"/抖音直播/烟台郭律师/烟台郭律师_2024-04-12_17-49-50.ts']' returned non-zero exit status 1. 发生错误的行数: 1314
2024-04-12 17:50:24.903 | WARNING  | __main__:start_record:1040 - 错误信息: [WinError 123] 文件名、目录名或卷标语法不正确。: '"D:' 发生错误的行数: 1038
2024-04-12 17:50:24.904 | WARNING  | __main__:start_record:1043 - 错误信息: 保存路径不存在,不能生成录制.请避免把本程序放在c盘,桌面,下载文件夹,qq默认传输目录.请重新检查设置
2024-04-12 17:50:25.002 | WARNING  | __main__:start_record:1040 - 错误信息: [WinError 123] 文件名、目录名或卷标语法不正确。: '"D:' 发生错误的行数: 1038
2024-04-12 17:50:25.003 | WARNING  | __main__:start_record:1043 - 错误信息: 保存路径不存在,不能生成录制.请避免把本程序放在c盘,桌面,下载文件夹,qq默认传输目录.请重新检查设置
2024-04-12 17:50:26.058 | WARNING  | __main__:start_record:1322 - 错误信息: Command '['ffmpeg', '-y', '-v', 'verbose', '-rw_timeout', '30000000', '-loglevel', 'error', '-hide_banner', '-user_agent', 'Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36', '-protocol_whitelist', 'rtmp,crypto,file,http,https,tcp,tls,udp,rtp', '-thread_queue_size', '1024', '-analyzeduration', '20000000', '-probesize', '10000000', '-fflags', '+discardcorrupt', '-i', 'http://pull-hls-l26.douyincdn.com/stage/stream-403181833070051467_ld.m3u8?expire=66223e60&sign=e0cc2b08d780528dd895f135ed43c899', '-bufsize', '8000k', '-sn', '-dn', '-reconnect_delay_max', '60', '-reconnect_streamed', '-reconnect_at_eof', '-max_muxing_queue_size', '1024', '-correct_ts_overflow', '1', '-c:v', 'copy', '-c:a', 'copy', '-map', '0', '-f', 'mpegts', '"D:/直播监控/"/抖音直播/长沙刑事律师李俊杰/长沙刑事律师李俊杰_2024-04-12_17-50-24.ts']' returned non-zero exit status 1. 发生错误的行数: 1314
2024-04-12 17:51:39.493 | WARNING  | __main__:start_record:1040 - 错误信息: [WinError 123] 文件名、目录名或卷标语法不正确。: '"D:' 发生错误的行数: 1038
2024-04-12 17:51:39.493 | WARNING  | __main__:start_record:1043 - 错误信息: 保存路径不存在,不能生成录制.请避免把本程序放在c盘,桌面,下载文件夹,qq默认传输目录.请重新检查设置
2024-04-12 17:51:39.846 | WARNING  | __main__:start_record:1040 - 错误信息: [WinError 123] 文件名、目录名或卷标语法不正确。: '"D:' 发生错误的行数: 1038
2024-04-12 17:51:39.847 | WARNING  | __main__:start_record:1043 - 错误信息: 保存路径不存在,不能生成录制.请避免把本程序放在c盘,桌面,下载文件夹,qq默认传输目录.请重新检查设置
2024-04-12 17:51:40.360 | WARNING  | __main__:start_record:1322 - 错误信息: Command '['ffmpeg', '-y', '-v', 'verbose', '-rw_timeout', '30000000', '-loglevel', 'error', '-hide_banner', '-user_agent', 'Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36', '-protocol_whitelist', 'rtmp,crypto,file,http,https,tcp,tls,udp,rtp', '-thread_queue_size', '1024', '-analyzeduration', '20000000', '-probesize', '10000000', '-fflags', '+discardcorrupt', '-i', 'http://pull-hls-l13.douyincdn.com/stage/stream-691412292170154424_ld.m3u8?expire=1713520299&sign=588fb8f4a349c4ab517d9367b8a8c8e9', '-bufsize', '8000k', '-sn', '-dn', '-reconnect_delay_max', '60', '-reconnect_streamed', '-reconnect_at_eof', '-max_muxing_queue_size', '1024', '-correct_ts_overflow', '1', '-c:v', 'copy', '-c:a', 'copy', '-map', '0', '-f', 'mpegts', '"D:/liverecorder"/抖音直播/烟台郭律师/烟台郭律师_2024-04-12_17-51-39.ts']' returned non-zero exit status 1. 发生错误的行数: 1314
2024-04-12 17:51:40.836 | WARNING  | __main__:start_record:1322 - 错误信息: Command '['ffmpeg', '-y', '-v', 'verbose', '-rw_timeout', '30000000', '-loglevel', 'error', '-hide_banner', '-user_agent', 'Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36', '-protocol_whitelist', 'rtmp,crypto,file,http,https,tcp,tls,udp,rtp', '-thread_queue_size', '1024', '-analyzeduration', '20000000', '-probesize', '10000000', '-fflags', '+discardcorrupt', '-i', 'http://pull-hls-l26.douyincdn.com/stage/stream-403181833070051467_ld.m3u8?expire=66223eab&sign=a5c8c23b0dfe560c4ef78f69f6b03c5a', '-bufsize', '8000k', '-sn', '-dn', '-reconnect_delay_max', '60', '-reconnect_streamed', '-reconnect_at_eof', '-max_muxing_queue_size', '1024', '-correct_ts_overflow', '1', '-c:v', 'copy', '-c:a', 'copy', '-map', '0', '-f', 'mpegts', '"D:/liverecorder"/抖音直播/长沙刑事律师李俊杰/长沙刑事律师李俊杰_2024-04-12_17-51-39.ts']' returned non-zero exit status 1. 发生错误的行数: 1314
2024-04-12 20:20:03.163 | WARNING  | utils:wrapper:18 - 错误信息: type: ValueError, unknown url type: '' in function dingtalk at line: 373
2024-04-12 21:09:23.560 | WARNING  | utils:wrapper:18 - 错误信息: type: ValueError, unknown url type: '' in function dingtalk at line: 373
2024-04-12 21:28:10.048 | WARNING  | utils:wrapper:18 - 错误信息: type: ValueError, unknown url type: '' in function dingtalk at line: 373
2024-04-13 08:22:51.996 | WARNING  | utils:wrapper:18 - 错误信息: type: JSONDecodeError, Expecting value: line 1 column 1 (char 0) in function get_douyin_stream_data at line: 355
2024-04-13 08:22:51.996 | WARNING  | utils:wrapper:18 - 错误信息: type: AttributeError, 'list' object has no attribute 'get' in function get_douyin_stream_url at line: 275
2024-04-13 08:22:51.996 | WARNING  | __main__:start_record:1345 - 错误信息: 'list' object has no attribute 'get' 发生错误的行数: 974
2024-04-13 08:35:50.184 | WARNING  | utils:wrapper:18 - 错误信息: type: JSONDecodeError, Expecting value: line 1 column 1 (char 0) in function get_douyin_stream_data at line: 355
2024-04-13 08:35:50.184 | WARNING  | utils:wrapper:18 - 错误信息: type: AttributeError, 'list' object has no attribute 'get' in function get_douyin_stream_url at line: 275
2024-04-13 08:35:50.184 | WARNING  | __main__:start_record:1345 - 错误信息: 'list' object has no attribute 'get' 发生错误的行数: 974
